evaluated,hit_rate,hits,max_abs_SCAR,mean_abs_SCAR,median_abs_SCAR,run_id,scope,skipped
54,0.14814814814814814,8,2.632020741636344,0.8539447443330818,0.520391986849265,31,second_order,0
184,0.09239130434782608,17,5.379663780555674,0.8671353105957146,0.6243715011606763,32,all,2
132,0.10606060606060606,14,5.263562138717859,0.975628009183141,0.7602254085084268,32,first_order,0
53,0.1509433962264151,8,4.456760860548637,1.1598446664763,0.9276839822262982,32,second_order,1
186,0.12365591397849462,23,5.263562138717859,0.9561695976184807,0.6844638895340572,33,all,0
131,0.08396946564885496,11,6.691101557193222,0.8555999488804258,0.627220993322199,33,first_order,1
54,0.05555555555555555,3,4.318129007165164,0.7989794986506998,0.5904374571132411,33,second_order,0
185,0.10810810810810811,20,6.107143258536974,0.909770191920948,0.6834958800693878,34,all,1
132,0.09848484848484848,13,5.379663780555674,0.8368041702991107,0.6229131289170944,34,first_order,0
53,0.05660377358490566,3,4.255759867545777,0.8934997703025161,0.6694770190393332,34,second_order,1
185,0.0918918918918919,17,5.293386789610306,0.8095229869652003,0.54553663944886,35,all,1
132,0.07575757575757576,10,7.402504941276007,0.8613176675556656,0.5818066800261328,35,first_order,0
54,0.018518518518518517,1,3.928708631946251,0.7536074392023367,0.534999965930391,35,second_order,0
185,0.11891891891891893,22,6.107143258536974,0.983338910350158,0.7329804417329422,36,all,1
132,0.10606060606060606,14,4.824738588056284,0.9265089826717569,0.7423168965529525,36,first_order,0
53,0.05660377358490566,3,2.616648797139487,0.770289958696618,0.5246720636035639,36,second_order,1
186,0.11827956989247312,22,5.799280119074019,0.9419082152230063,0.7199096096352345,37,all,0
132,0.13636363636363635,18,5.799280119074019,0.9513737881559595,0.7602254085084268,37,first_order,0
54,0.12962962962962962,7,2.6765087628827327,0.8486724526226999,0.6198535680896358,37,second_order,0
186,0.10752688172043011,20,4.840509145429005,0.9528337603816402,0.7320920698074647,38,all,0
131,0.09923664122137404,13,6.107143258536974,0.9625701200705735,0.7345474702873649,38,first_order,1
54,0.1111111111111111,6,4.318129007165164,0.935925511568374,0.7154738398697018,38,second_order,0
186,0.08602150537634409,16,5.379663780555674,0.8377567200234163,0.5972818728806715,39,all,0
131,0.07633587786259542,10,4.840509145429005,0.7793826925021256,0.5614613354824616,39,first_order,1
53,0.05660377358490566,3,2.470560470967866,0.7896767239759848,0.7094231369018614,39,second_order,1
186,0.0967741935483871,18,6.691101557193222,0.8879522261646992,0.628688864960445,40,all,0
132,0.12878787878787878,17,5.799280119074019,0.9543450778239607,0.7208265341067029,40,first_order,0
